nfc_id,first_name,last_name,gender,date_of_birth,verif_id,verif_id_type,verif_date
1,David,Lynch,M,1946/01/20,2056983201,ID,1982/05/09
2,Laura,Palmer ,F,1996/07/22,L2563248,ID,1999/06/24
3,Leland,Palmer ,M,1964/02/26,L8596475,ID,1975/04/28
4,Sarah,Palmer,F,1963/03/03,S5269632,ID,1974/04/08
5,Dale,Cooper,M,1974/04/19,D5863252,ID,1996/05/21
6,Shelly,Johnson,F,1992/05/30,S8896328,ID,2003/07/31
7,Bobby,Briggs,M,1989/03/29,B5684215,ID,2000/02/12
8,Donna,Hayward,F,1992/08/02,D1245896,ID,2003/12/04
9,Jacques,Renault,M,1995/07/10,A8952222,ID,2006/06/12
10,Nadine,Hurley,F,1990/04/03,D5263842,ID,1999/04/06
11,Ronette,Pulaski,F,1995/08/12,AI202114,ID,2006/05/07
12,Harry,Truman,M,1990/02/13,C03004786,PASSPORT,2007/11/02
13,Mark,Fischer,M,1987/11/03,568420,ID,1996/07/17
14,Audrey,Horne,F,1997/08/22,P59462384,PASSPORT,2006/02/03
15,Andy,Brennan,M,1994/12/13,AI424242,ID,2011/05/06
16,Ben,Horne,M,2000/07/15,AT587482,ID,2009/03/01
17,Maddy,Ferguson,F,1996/10/23,MF562430,PASSPORT,2007/06/05
18,Garland,Briggs,M,1985/07/30,P122685410,ID,1993-12-03
19,Hank,Jennings,M,1994-08-15,H62738465,PASSPORT,1999/06/08
20,Leo,Johnson,M,1995/10/07,S1012010,ID,2001/3/5
21,Thomas,Eckhardt,M,1999/7/16,T78901627,ID,2007/3/1
22,Jean-Michel,Renault,M,1995/07/10,J10928722,ID,2006/4/4
23,Lawrence,Jacoby,M,1970/10/1,L58642612,PASSPORT,1980/1/3
24,Margaret,Lanterman,F,1969/3/5,I58594739,ID,1976/06/10
25,Teresa,Banks,F,1989/7/21,T72819766,ID,1996/7/12
