customer_id,email
1,romanticdavidlynch@gmail.com
1,cooldavidlynch@hotmail.com
2,lpalmer@gmail.com
3,leland_p@gmail.com
4,sarahpalmer@gmail.com
5,daleacooper@yahoo.com
6,sj@gmail.com
7,bobby97@gmail.com
8,donna.hayward@hotmail.com
9,renaultrenault@gmail.com
9,jacquesren@hotmail.com
10,nadine@gmail.com
11,ronnette@outlook.com
12,sherifftruman@outlook.com
13,notthebeerowner@fischer.com
14,audrey@gmail.com
15,andy_brennan@twinpeaks.org
16,ben_horne@gmail.com
16,benben@gmail.com
17,maddy_ferg1@outlook.com
18,lutenant_briggs@yahoo.com
19,hank123@gmail.com
19,im_hank_jen@gmail.com
20,leo@gmail.com
21,eckhardt_t@hotmail.com
22,jean_michel@mail.com
23,lawrence1970@gmail.com
24,log_lady@gmail.com
25,teresabanks@gmail.com
25,teresateresa@yahoo.com
