customer_id,phone_num
1,+1 520-496-1604
1,+1 216-593-1473
2,+1 331-395-8037
3,+1 217-717-2912
4,+1 302-856-7061
5,+1 224-505-4982
5,+1 208-447-7721
6,+1 218-652-9469
7,+1 312-340-8447
8,+1 308-596-1937
9,+1 215-781-4145
9,+1 205-708-6959
9,+1 503-551-5647
10,+1 302-737-6045
11,+1 304-933-6151
11,+1 225-389-0748
12,+1 203-309-4738
13,+1 364-522-9615
14,+1 407-754-2973
15,+30 688 254 8034
16,+30 689 319 1914
17,+1-202-555-0190
17,+1-202-555-0153
18,+1-202-555-0140
19,+1-202-555-0182
19,+1-202-555-0100
19,+1-202-555-0155
20,+1-202-555-0161
20,+1-202-555-0175
21,+1-202-555-0118
22,+1-202-555-0127
23,+1-202-555-0100
24,+1-202-555-0168
25,+1-202-555-0192
25,+1-202-555-0140
25,+1-202-555-0165
